year,geography,state,table_number,table_title,section,parent_label,source_label,value,source_symbol,unit,universe,publication,page,source_file,source_column,notes
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Africa,Entered 1980 to 1990,1211,,persons,Africa foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Foreign-born persons,Oceania,243,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Oceania,Entered 1980 to 1990,107,,persons,Oceania foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Foreign-born persons,Area not reported,5295,,persons,Foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Area of birth by year of entry,Area not reported,Entered 1980 to 1990,2193,,persons,Area not reported foreign-born persons,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,,Persons 5 years and over,776864,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Speak only English,599146,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Spanish,42204,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,French,5245,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Italian,27158,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Portuguese,2411,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,German,9355,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Yiddish,1356,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Other West Germanic,776,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Scandinavian,949,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Polish,10963,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
1990,Bergen County,New Jersey,138,"Nativity, Citizenship, Year of Entry, Area of Birth, and Language Spoken at Home: 1990",Language spoken at home,Persons 5 years and over,Russian,2822,,persons,Persons 5 years and over,"1990 Census of Population: Social and Economic Characteristics, New Jersey",264,cp-2-32-1table138.pdf,Bergen County,
