year,geography,state,section,source_label,value,unit,universe,publication,table,page,source_file,source_column,notes
1980,Bergen County,New Jersey,Year of immigration,1975 to 1980,18337,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Year of immigration,1970 to 1974,15863,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Year of immigration,1965 to 1969,15196,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Year of immigration,1960 to 1964,10829,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Year of immigration,1950 to 1959,17803,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Year of immigration,Before 1950,36257,persons,Foreign born persons,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home and ability to speak English,Persons 5 years and over,803413,persons,Persons 5 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home and ability to speak English,Speak only English at home,668133,persons,Persons 5 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home and ability to speak English,Speak a language other than English at home,135280,persons,Persons 5 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home and ability to speak English,Speak English very well,82257,persons,Speak a language other than English at home,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home and ability to speak English,Speak English well,34338,persons,Speak a language other than English at home,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home and ability to speak English,Speak English not well or not at all,18685,persons,Speak a language other than English at home,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home and ability to speak English,5 to 13 years,1277,persons,Speak English not well or not at all,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home and ability to speak English,14 to 17 years,531,persons,Speak English not well or not at all,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home and ability to speak English,18 to 24 years,942,persons,Speak English not well or not at all,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home and ability to speak English,25 years and over,15935,persons,Speak English not well or not at all,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 5 to 17 years,Persons 5 to 17 years,157257,persons,Persons 5 to 17 years,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 5 to 17 years,English only,137347,persons,Persons 5 to 17 years,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 5 to 17 years,Chinese,634,persons,Persons 5 to 17 years,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 5 to 17 years,French,739,persons,Persons 5 to 17 years,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 5 to 17 years,German,1181,persons,Persons 5 to 17 years,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 5 to 17 years,Greek,1232,persons,Persons 5 to 17 years,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 5 to 17 years,Italian,3357,persons,Persons 5 to 17 years,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 5 to 17 years,Philippine languages,290,persons,Persons 5 to 17 years,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 5 to 17 years,Polish,964,persons,Persons 5 to 17 years,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 5 to 17 years,Spanish,5147,persons,Persons 5 to 17 years,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 5 to 17 years,Other specified language,6229,persons,Persons 5 to 17 years,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 5 to 17 years,Unspecified language,137,persons,Persons 5 to 17 years,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 18 years and over,Persons 18 years and over,646156,persons,Persons 18 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 18 years and over,English only,530786,persons,Persons 18 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 18 years and over,Chinese,2341,persons,Persons 18 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 18 years and over,French,3981,persons,Persons 18 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 18 years and over,German,11278,persons,Persons 18 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 18 years and over,Greek,5793,persons,Persons 18 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 18 years and over,Italian,30206,persons,Persons 18 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 18 years and over,Philippine languages,1965,persons,Persons 18 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 18 years and over,Polish,10305,persons,Persons 18 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 18 years and over,Spanish,18139,persons,Persons 18 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 18 years and over,Other specified language,30459,persons,Persons 18 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
1980,Bergen County,New Jersey,Language spoken at home: persons 18 years and over,Unspecified language,903,persons,Persons 18 years and over,1980 Census of Population,Table 172: Nativity and Language for Counties: 1980,32-724,1980a_njc-09table172.pdf,Bergen,
