year,source_period,geography,european_group,group_type,european_subregion,hierarchy_level,population,margin_of_error,unit,measure_scope,historical_comparability,standard_variable,parent_label,source_label,table_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
1990,1990,Bergen County,Lithuania,country_or_area,,1,188,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_lithuania,Europe,Lithuania,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-104,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Netherlands,country_or_area,,1,770,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_netherlands,Europe,Netherlands,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-105,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Norway,country_or_area,,1,357,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_norway,Europe,Norway,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-106,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Poland,country_or_area,,1,7110,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_poland,Europe,Poland,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-107,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Portugal,country_or_area,,1,1365,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_portugal,Europe,Portugal,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-108,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Romania,country_or_area,,1,844,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_romania,Europe,Romania,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-109,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Spain,country_or_area,,1,962,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_spain,Europe,Spain,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-110,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Sweden,country_or_area,,1,364,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_sweden,Europe,Sweden,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-111,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,Switzerland,country_or_area,,1,540,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_switzerland,Europe,Switzerland,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-112,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
1990,1990,Bergen County,United Kingdom,country_or_area,,1,4638,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_united_kingdom,Europe,United Kingdom,,Table 139: Place of Birth of Foreign-Born Persons: 1990,BC-1990-113,"1990 Census of Population: Social and Economic Characteristics, New Jersey",,cp-2-32-1table139.pdf,,
